ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
264,7/27/2024 12:14:47 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1;  Doors open left,G02-G1-417
270,7/27/2024 12:14:47 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D06-D2-129
232,7/27/2024 12:14:47 PM,Red,2,SHADY GROVE,,A10-A2-436
321,7/27/2024 12:14:48 PM,Green,2,BRANCH AVE,Waterfront- Track 2; ,F04-F2-87
260,7/27/2024 12:14:52 PM,Orange,2,VIENNA,,D02-D2-42
254,7/27/2024 12:14:52 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1; ,F03-F1-44
264,7/27/2024 12:14:52 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1;  Doors open left,G02-G1-417
270,7/27/2024 12:14:52 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D06-D2-125
232,7/27/2024 12:14:52 PM,Red,2,SHADY GROVE,,A10-3BTN
321,7/27/2024 12:14:53 PM,Green,2,BRANCH AVE,Waterfront- Track 2; ,F04-F2-87
260,7/27/2024 12:14:58 PM,Orange,2,VIENNA,,D02-D2-40
254,7/27/2024 12:14:58 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors open right,F03-F1-49
264,7/27/2024 12:14:58 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1; ,G02-G1-417
270,7/27/2024 12:14:58 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D06-D2-121
232,7/27/2024 12:14:58 PM,Red,2,SHADY GROVE,Medical Center- Track 2; ,A10-A2-444
321,7/27/2024 12:14:59 PM,Green,2,BRANCH AVE,Waterfront- Track 2; ,F04-F2-87
260,7/27/2024 12:15:03 PM,Orange,2,VIENNA,,D02-D2-40
254,7/27/2024 12:15:03 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors open right,F03-F1-49
264,7/27/2024 12:15:03 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1; ,G02-G1-417
270,7/27/2024 12:15:03 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D05-D2-119
232,7/27/2024 12:15:03 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  motion;,A10-A2-444
321,7/27/2024 12:15:03 PM,Green,2,BRANCH AVE,Waterfront- Track 2; ,F05-F2-93
260,7/27/2024 12:15:08 PM,Orange,2,VIENNA,Smithsonian- Track 2;  motion;,D02-D2-36
254,7/27/2024 12:15:08 PM,Yellow,1,MT VERNON SQ,L Enfant Plaza Upper- Track 1;  Doors operating manually; Doors open right,F03-F1-49
264,7/27/2024 12:15:08 PM,Silver,1,LARGO TOWN CENTER,Capitol Heights- Track 1; ,G02-G1-423
270,7/27/2024 12:15:08 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D05-D2-114
232,7/27/2024 12:15:08 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  motion;,A10-A2-444
