TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Green,1,L Enfant Plaza Upper,9,-8574036.795,4705543.529
Yellow,1,L Enfant Plaza Upper,10,-8574036.795,4705543.529
Green,1,L Enfant Plaza Upper,9,-8574037.463,4705229.761
Green,1,L Enfant Plaza Upper,9,-8574037.463,4705357.755
Green,1,L Enfant Plaza Upper,9,-8574037.463,4705387.502
Yellow,1,L Enfant Plaza Upper,10,-8574037.463,4705229.761
Yellow,1,L Enfant Plaza Upper,10,-8574037.463,4705357.755
Yellow,1,L Enfant Plaza Upper,10,-8574037.575,4705428.689
Yellow,1,Mt Vernon Sq,13,-8574041.026,4708636.962
Green,2,L Enfant Plaza Upper,9,-8574042.695,4705004.38
Green,2,L Enfant Plaza Upper,9,-8574042.807,4705102.34
Yellow,2,L Enfant Plaza Upper,10,-8574042.807,4705063.156
Yellow,2,L Enfant Plaza Upper,10,-8574042.807,4705102.34
Yellow,1,Mt Vernon Sq,13,-8574042.807,4708528.096
Green,2,L Enfant Plaza Upper,9,-8574042.918,4705229.761
Yellow,2,L Enfant Plaza Upper,10,-8574042.918,4705229.761
Green,2,L Enfant Plaza Upper,9,-8574044.254,4704912.428
Green,2,Archives,10,-8574046.814,4706388.49
Yellow,2,Archives,11,-8574046.814,4706388.49
Green,2,Archives,10,-8574046.926,4706090.858
Green,2,Archives,10,-8574046.926,4706234.452
Green,2,Gallery Place,11,-8574046.926,4706811.283
Yellow,2,Archives,11,-8574046.926,4706090.858
Yellow,2,Gallery Place,12,-8574046.926,4706811.283
Green,2,Archives,10,-8574047.037,4705921.092
Yellow,2,L Enfant Plaza Upper,10,-8574047.148,4705004.523
Green,2,Gallery Place,11,-8574047.26,4707126.244
Yellow,2,Gallery Place,12,-8574047.26,4707126.244
Green,2,Mt Vernon Sq,12,-8574048.15,4708051.158
Green,2,Mt Vernon Sq,12,-8574048.15,4708116.532
Green,2,Mt Vernon Sq,12,-8574048.15,4708165.026
Green,2,Mt Vernon Sq,12,-8574048.15,4708298.78
