ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,x,y
13,7/26/2024 6:23:56 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
505,7/26/2024 6:23:57 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:24:02 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:01 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
505,7/26/2024 6:24:02 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:24:07 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  Doors open left,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:06 PM,Red,2,SHADY GROVE,,-8571278.96643418,4713025.769869743
505,7/26/2024 6:24:07 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:24:12 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  Doors open left,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:11 PM,Red,2,SHADY GROVE,,-8571247.240379304,4712927.304230064
505,7/26/2024 6:24:13 PM,Silver,1,LARGO TOWN CENTER,,-8624615.25141898,4721145.174033053
322,7/26/2024 6:24:17 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  Doors open left,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:17 PM,Red,2,SHADY GROVE,,-8571203.15786095,4712790.484374953
505,7/26/2024 6:24:18 PM,Silver,1,LARGO TOWN CENTER,,-8624615.25141898,4721145.174033053
322,7/26/2024 6:24:23 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:22 PM,Red,1,SHADY GROVE,,-8571319.375409339,4713151.143200612
505,7/26/2024 6:24:23 PM,Silver,1,LARGO TOWN CENTER,,-8624269.381761087,4720891.080136869
322,7/26/2024 6:24:28 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:27 PM,Red,2,SHADY GROVE,,-8571162.19228834,4712663.398128472
505,7/26/2024 6:24:28 PM,Silver,1,LARGO TOWN CENTER,,-8624269.381761087,4720891.080136869
322,7/26/2024 6:24:33 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
13,7/26/2024 6:24:32 PM,Red,2,SHADY GROVE,,-8571055.882174632,4712330.376741062
505,7/26/2024 6:24:33 PM,Silver,1,LARGO TOWN CENTER,,-8624269.381761087,4720891.080136869
322,7/26/2024 6:24:38 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577491.818534845,4695221.163306277
13,7/26/2024 6:24:37 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
505,7/26/2024 6:24:39 PM,Silver,1,LARGO TOWN CENTER,,-8623974.162471503,4720784.230829312
322,7/26/2024 6:24:41 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577459.313243533,4695280.025428781
13,7/26/2024 6:24:40 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
505,7/26/2024 6:24:41 PM,Silver,1,LARGO TOWN CENTER,,-8623974.162471503,4720784.230829312
322,7/26/2024 6:24:46 PM,Yellow,1,MT VERNON SQ,,-8577371.59348479,4695441.89802141
13,7/26/2024 6:24:45 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
505,7/26/2024 6:24:46 PM,Silver,1,LARGO TOWN CENTER,,-8623751.857448388,4720768.332436115
322,7/26/2024 6:24:51 PM,Yellow,1,MT VERNON SQ,,-8577371.59348479,4695441.89802141
13,7/26/2024 6:24:50 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
505,7/26/2024 6:24:49 PM,Silver,1,LARGO TOWN CENTER,,-8623751.857448388,4720768.332436115
322,7/26/2024 6:24:57 PM,Yellow,1,MT VERNON SQ,,-8577227.100785738,4695710.500767712
13,7/26/2024 6:24:56 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
505,7/26/2024 6:24:54 PM,Silver,1,LARGO TOWN CENTER,,-8623536.565553192,4720765.18140619
322,7/26/2024 6:25:02 PM,Yellow,1,MT VERNON SQ,,-8577227.100785738,4695710.500767712
13,7/26/2024 6:25:01 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:00 PM,Silver,1,LARGO TOWN CENTER,,-8623536.565553192,4720765.18140619
322,7/26/2024 6:25:07 PM,Yellow,1,MT VERNON SQ,,-8577081.160933308,4695939.818829626
13,7/26/2024 6:25:06 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  Doors open left,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:05 PM,Silver,1,LARGO TOWN CENTER,,-8623409.772653181,4720751.001783647
322,7/26/2024 6:25:10 PM,Yellow,1,MT VERNON SQ,,-8577081.160933308,4695939.818829626
13,7/26/2024 6:25:12 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  Doors open left,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:10 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:25:15 PM,Yellow,1,MT VERNON SQ,,-8576998.895829612,4696068.696420212
13,7/26/2024 6:25:17 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  Doors open left,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:15 PM,Silver,1,LARGO TOWN CENTER,,-8623098.412037432,4720690.273119575
322,7/26/2024 6:25:20 PM,Yellow,1,MT VERNON SQ,,-8576998.895829612,4696068.696420212
13,7/26/2024 6:25:22 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:21 PM,Silver,1,LARGO TOWN CENTER,,-8623098.412037432,4720690.273119575
322,7/26/2024 6:25:25 PM,Yellow,1,MT VERNON SQ,,0,0
13,7/26/2024 6:25:27 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
505,7/26/2024 6:25:26 PM,Silver,1,LARGO TOWN CENTER,,-8623098.412037432,4720690.273119575
322,7/26/2024 6:25:31 PM,Yellow,1,MT VERNON SQ,,-8576769.688998068,4696613.372293512
13,7/26/2024 6:25:33 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570968.49637436,4711903.346826291
505,7/26/2024 6:25:31 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  motion;,-8622888.463477796,4720525.705997929
322,7/26/2024 6:25:36 PM,Yellow,1,MT VERNON SQ,,-8576745.755307548,4696891.436855247
13,7/26/2024 6:25:38 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570968.49637436,4711903.346826291
