ITT,TRACKLINE,TRIP_DIRECTION,DESCRIPTION,x,y
47,Silver,1,East Falls Church- Track 1; ,-8589074.945510358,4705351.748726643
337,Orange,2,Virginia Square- Track 2;  Doors open right,-8583070.594815949,4704990.50877217
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1;  motion;,-8571834.116734767,4714772.40569312
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Eastern Market- Track 1; ,-8571016.47507489,4705074.310721174
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,Foggy Bottom-GMU- Track 1;  Doors open left,-8577179.344724188,4707449.654107064
68,Green,2,Shaw/Howard U- Track 2;  motion;,-8574048.372726137,4709291.327976672
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2;  motion;,-8587869.021466594,4733755.318552256
72,Green,2,College Park-U of MD- Track 2; ,-8563630.98345821,4718565.858220486
74,Red,1,Farragut North- Track 1;  Doors operating manually; Doors open left,-8576023.959729245,4707804.544461503
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
76,Red,2,Grosvenor-Strathmore- Track 2;  Doors open left,-8583184.252016049,4725933.9011566285
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2;  motion;,-8576514.990003135,4700705.660914121
92,Red,2,Woodley Park Zoo/Adams Morgan- Track 2;  Doors open left,-8577460.203799458,4711018.146993381
100,Red,2,Farragut North- Track 2;  motion;,-8576009.488195442,4707810.981523183
160,Silver,1,Wiehle-Reston- Track 1; ,-8609321.511856856,4714124.413522205
