ITT,TRACKLINE,TRIP_DIRECTION,DESCRIPTION,x,y
511,Green,1,Suitland- Track 1;  motion;,-8564122.459010063,4699450.673598985
2,Orange,1,Metro Center Lower- Track 1;  motion;,-8574736.661137713,4707116.946721713
507,Yellow,2,Mt Vernon Sq- Track 2;  motion;,-8574048.150087155,4708298.779621934
203,Blue,1,Foggy Bottom-GMU- Track 1;  motion;,-8577179.344724188,4707449.654107064
13,Red,1,New York Avenue- Track 1; ,-8571871.520083675,4708577.450166068
15,Red,1,Dupont Circle- Track 1;  motion;,-8576456.435950976,4708774.011915051
323,Green,1,Southern Ave- Track 1;  Doors operating manually;,-8568846.412921367,4698920.137842916
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
23,Yellow,2,Ronald Reagan Washington National Airport- Track 2; ,-8576465.118871257,4700549.136387566
207,Blue,1,Federal Triangle- Track 1; ,-8574740.000722434,4706303.676094157
341,Blue,2,L Enfant Plaza Lower- Track 2;  Doors operating manually;,-8574058.72543878,4705199.01387704
11,Red,2,New York Avenue- Track 2; ,-8571976.828321965,4708306.933630894
257,Green,1,Mt Vernon Sq- Track 1; ,-8574033.789872844,4708432.82091582
114,Green,2,Greenbelt- Track 1; ,-8561708.941130174,4723255.946525495
35,Yellow,1,Pentagon City- Track 1; ,-8578223.410228338,4701901.902358281
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
31,Red,2,Fort Totten Upper- Track 2; ,-8571739.717806574,4714421.422689046
43,Orange,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
45,Green,2,Southern Ave- Track 2;  Doors open left,-8568836.171528213,4698909.990472938
299,Silver,1,Innovation Center- Track 1; ,-8617834.669915272,4716045.321950225
50,Green,1,Waterfront- Track 1; ,-8573843.76750206,4704006.245120224
62,Yellow,1,Huntington- Track 2; ,0,0
60,Silver,2,Ashburn- Track 1; ,0,0
271,Silver,2,Benning Road- Track 2;  motion;,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1;  motion;,-8569040.776752291,4705487.753320234
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
68,Green,2,Gallery Place-Chinatown Lower- Track 2;  motion;,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2;  motion;,-8578393.39509078,4694013.850562149
72,Green,2,Hyattsville Crossing- Track 2;  motion;,-8566750.044270748,4716703.888332784
74,Red,1,Gallery Place Upper- Track 1; ,-8574138.875472153,4707122.096022117
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Medical Center- Track 2;  Doors open left,-8582364.71792483,4721418.181676335
76,Red,2,North Bethesda- Track 2; ,-8584265.052952161,4728850.223876368
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
100,Red,2,Dupont Circle- Track 2;  Doors open right,-8576451.42657389,4708776.157806668
129,Green,2,Anacostia- Track 2;  motion;,-8571114.102268316,4702105.483274096
116,Orange,2,Rosslyn- Track 2;  motion;,-8579494.344854726,4706789.971491729
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
7,Blue,1,Morgan Blvd- Track 1;  Doors open left,-8556870.662101828,4706492.327338957
150,Silver,1,Eastern Market- Track 1; ,-8571052.98786787,4705093.473721285
37,Green,1,Georgia Avenue- Track 1; ,-8574107.483375747,4712886.086338981
201,Silver,2,Ballston-MU- Track 2;  Doors open right,-8584204.829107642,4704823.04995147
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Suitland- Track 1;  Doors operating manually;,-8564122.459010063,4699450.673598985
2,Orange,1,Metro Center Lower- Track 1;  motion;,-8574736.661137713,4707116.946721713
111,Orange,1,Landover- Track 1; ,-8559491.011595609,4712145.337779201
507,Yellow,2,Mt Vernon Sq- Track 2;  motion;,-8574048.150087155,4708298.779621934
128,Silver,2,Court House- Track 2;  motion;,-8581299.946995392,4705957.991433865
12,Orange,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
203,Blue,1,Foggy Bottom-GMU- Track 1;  motion;,-8577179.344724188,4707449.654107064
15,Red,1,Dupont Circle- Track 1;  Doors open right,-8576456.435950976,4708774.011915051
323,Green,1,Southern Ave- Track 1;  Doors operating manually;,-8568846.412921367,4698920.137842916
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1;  motion;,-8577230.551689954,4701332.354938014
207,Blue,1,Federal Triangle- Track 1; ,-8574779.741780648,4706138.483984273
341,Blue,2,L Enfant Plaza Lower- Track 2; ,-8574222.031131774,4705198.870867956
11,Red,2,New York Avenue- Track 2;  motion;,-8571976.828321965,4708306.933630894
257,Green,1,Mt Vernon Sq- Track 1; ,-8574033.901192334,4708746.544542399
114,Green,2,Greenbelt- Track 1; ,-8561842.079241164,4723078.587472708
35,Yellow,1,Pentagon City- Track 1;  Doors open right,-8578223.410228338,4701901.902358281
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
43,Orange,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
45,Green,2,Southern Ave- Track 2; ,-8568836.171528213,4698909.990472938
299,Silver,1,Innovation Center- Track 1;  motion;,-8617834.669915272,4716045.321950225
503,Silver,1,Mclean- Track 1;  motion;,-8595032.764657613,4710832.55959762
48,Red,1,Takoma- Track 1; ,-8573611.22108579,4718240.661816604
62,Yellow,1,Huntington- Track 2; ,0,0
60,Silver,2,Ashburn- Track 1;  Doors open right,0,0
271,Silver,2,Benning Road- Track 2;  motion;,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1; ,-8569040.776752291,4705487.753320234
152,Blue,1,King Street-Old Town- Track 1;  motion;,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
68,Green,2,Gallery Place-Chinatown Lower- Track 2;  motion;,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2;  motion;,-8578393.39509078,4694013.850562149
72,Green,2,Hyattsville Crossing- Track 2; ,-8567052.16536876,4716705.749559241
74,Red,1,Gallery Place Upper- Track 1; ,-8574138.875472153,4707122.096022117
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Medical Center- Track 2;  Doors operating manually; Doors open left,-8582364.71792483,4721418.181676335
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Potomac Yard- Track 2;  motion;,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2; ,-8578602.453094488,4713543.875166603
100,Red,2,Dupont Circle- Track 2; ,-8576451.42657389,4708776.157806668
101,Red,2,Gallery Place Upper- Track 2; ,-8574138.65283317,4707127.674433836
129,Green,2,Anacostia- Track 2; ,-8571114.102268316,4702105.483274098
116,Orange,2,Rosslyn- Track 2;  Doors open left,-8579494.344854726,4706789.971491729
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
7,Blue,1,Morgan Blvd- Track 1; ,-8556870.662101828,4706492.327338957
150,Silver,1,Eastern Market- Track 1; ,-8570963.709636254,4705046.71034423
201,Silver,2,Ballston-MU- Track 2;  Doors open right,-8584204.829107642,4704823.04995147
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Suitland- Track 1;  Doors operating manually; Doors open left,-8564122.459010063,4699450.673598985
2,Orange,1,Metro Center Lower- Track 1;  Doors open left,-8574736.661137713,4707116.946721713
111,Orange,1,Landover- Track 1;  motion;,-8559491.011595609,4712145.337779201
507,Yellow,2,Mt Vernon Sq- Track 2;  Doors open left,-8574048.150087155,4708298.779621934
128,Silver,2,Court House- Track 2;  motion;,-8581299.946995392,4705957.991433865
12,Orange,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
203,Blue,1,Foggy Bottom-GMU- Track 1;  motion;,-8577179.344724188,4707449.654107064
15,Red,1,Dupont Circle- Track 1;  Doors open right,-8576456.435950976,4708774.011915051
323,Green,1,Southern Ave- Track 1; ,-8569000.256457642,4698766.213332864
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1;  motion;,-8577230.551689954,4701332.354938014
341,Blue,2,L Enfant Plaza Lower- Track 2; ,-8574312.979155751,4705199.01387704
11,Red,2,New York Avenue- Track 2;  motion;,-8571976.828321965,4708306.933630894
114,Green,2,Greenbelt- Track 1; ,-8561872.58078164,4723048.789164244
18,Orange,2,Stadium-Armory- Track 2; ,-8569056.584119983,4705487.610307085
35,Yellow,1,Pentagon City- Track 1; ,-8578210.274528423,4702033.571852841
501,Silver,2,Ashburn- Track 2;  Doors operating manually;,0,0
43,Orange,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
45,Green,2,Southern Ave- Track 2; ,-8568705.816404494,4699040.906615045
299,Silver,1,Innovation Center- Track 1; ,-8617834.669915272,4716045.321950225
505,Silver,2,Capitol South- Track 2;  motion;,-8572181.990143495,4705229.903886119
503,Silver,1,Mclean- Track 1;  motion;,-8595032.764657613,4710832.55959762
51,Orange,2,Federal Center SW- Track 2;  motion;,-8573376.448279709,4705230.18990516
48,Red,1,Takoma- Track 1;  motion;,-8573611.22108579,4718240.661816604
62,Yellow,1,Huntington- Track 2; ,-8579929.826702708,4692531.5846698
60,Silver,2,Ashburn- Track 1; ,-8626483.749071945,4722639.930839246
271,Silver,2,Benning Road- Track 2;  motion;,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1;  Doors open left,-8569040.776752291,4705487.753320234
152,Blue,1,King Street-Old Town- Track 1;  motion;,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
68,Green,2,Gallery Place-Chinatown Lower- Track 2;  Doors operating manually; Doors open left,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2;  motion;,-8578393.39509078,4694013.850562149
340,Silver,2,Loudoun Gateway- Track 2;  motion;,-8622878.333404135,4720537.88014953
74,Red,1,Gallery Place Upper- Track 1;  Doors operating manually; Doors open right,-8574138.875472153,4707122.096022117
136,Green,2,Columbia Heights- Track 2;  motion;,-8575228.136689564,4711291.168388864
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Medical Center- Track 2; ,-8582364.71792483,4721418.181676335
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Potomac Yard- Track 2;  motion;,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2;  motion;,-8578602.453094488,4713543.875166603
100,Red,2,Dupont Circle- Track 2; ,-8576523.116325961,4708934.668921366
101,Red,2,Gallery Place Upper- Track 2;  motion;,-8574138.65283317,4707127.674433836
129,Green,2,Anacostia- Track 2;  Doors open left,-8571114.102268316,4702105.483274098
116,Orange,2,Rosslyn- Track 2;  Doors open left,-8579494.344854726,4706789.971491729
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
7,Blue,1,Morgan Blvd- Track 1; ,-8556720.269469766,4706567.703000853
201,Silver,2,Ballston-MU- Track 2;  motion;,-8584204.829107642,4704823.04995147
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Suitland- Track 1;  Doors operating manually;,-8564122.459010063,4699450.673598985
2,Orange,1,Metro Center Lower- Track 1;  Doors open left,-8574736.661137713,4707116.946721713
111,Orange,1,Landover- Track 1;  motion;,-8559491.011595609,4712145.3377792
507,Yellow,2,Mt Vernon Sq- Track 2;  Doors open left,-8574048.150087155,4708298.779621934
128,Silver,2,Court House- Track 2; ,-8581299.946995392,4705957.991433865
12,Orange,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
203,Blue,1,Foggy Bottom-GMU- Track 1; ,-8577179.344724188,4707449.654107064
15,Red,1,Dupont Circle- Track 1; ,-8576375.729320152,4708595.189207023
323,Green,1,Southern Ave- Track 1; ,-8569063.263289433,4698703.18642023
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1;  Doors open right,-8577230.551689954,4701332.354938014
25,Yellow,1,L Enfant Plaza Upper- Track 1; ,-8574037.46341604,4705229.760876599
207,Blue,1,Smithsonian- Track 1; ,-8574788.758659402,4705705.278647274
11,Red,2,New York Avenue- Track 2;  Doors operating manually; Doors open left,-8571976.828321965,4708306.933630894
18,Orange,2,Stadium-Armory- Track 2; ,-8569056.584119983,4705487.610307085
501,Silver,2,Ashburn- Track 2;  motion;,0,0
43,Orange,1,East Falls Church- Track 1;  Doors open left,-8589074.945510358,4705351.748726643
299,Silver,1,Innovation Center- Track 1;  Doors open left,-8617834.669915272,4716045.321950225
44,Red,1,North Bethesda- Track 1;  motion;,-8584196.591465322,4728623.887858121
505,Silver,2,Capitol South- Track 2;  motion;,-8572181.990143495,4705229.903886119
503,Silver,1,Mclean- Track 1; ,-8594794.874905787,4710972.930322193
51,Orange,2,Federal Center SW- Track 2;  motion;,-8573376.448279709,4705230.189905159
48,Red,1,Takoma- Track 1; ,-8573611.22108579,4718240.661816606
60,Silver,2,Ashburn- Track 1; ,-8626483.749071945,4722639.930839246
271,Silver,2,Benning Road- Track 2; ,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1;  Doors operating manually; Doors open left,-8569040.776752291,4705487.753320234
152,Blue,1,King Street-Old Town- Track 1; ,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,McPherson Square- Track 1;  motion;,-8575322.646937247,4707546.636213195
68,Green,2,Gallery Place-Chinatown Lower- Track 2;  Doors operating manually; Doors open left,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2; ,-8578393.39509078,4694013.850562149
340,Silver,2,Loudoun Gateway- Track 2; ,-8623089.840436641,4720699.86937012
74,Red,1,Gallery Place Upper- Track 1;  Doors operating manually; Doors open right,-8574138.875472153,4707122.096022117
136,Green,2,Columbia Heights- Track 2;  motion;,-8575228.136689564,4711291.168388864
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Medical Center- Track 2; ,-8582392.770436509,4721747.7773018535
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Potomac Yard- Track 2;  motion;,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2; ,-8578602.453094488,4713543.875166603
95,Green,1,Hyattsville Crossing- Track 1;  motion;,-8566750.266909728,4716698.304655461
100,Red,2,Dupont Circle- Track 2; ,-8576612.171918597,4709131.809843066
101,Red,2,Gallery Place Upper- Track 2; ,-8574138.65283317,4707127.674433836
129,Green,2,Anacostia- Track 2; ,-8571114.102268316,4702105.483274096
116,Orange,2,Rosslyn- Track 2; ,-8579494.344854726,4706789.971491729
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
255,Blue,2,Eastern Market- Track 2; ,-8571160.522495976,4705165.978832367
201,Silver,2,Ballston-MU- Track 2; ,-8584505.725691257,4704812.753683645
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Suitland- Track 1; ,-8564310.477630014,4699652.919057761
2,Orange,1,Metro Center Lower- Track 1; ,-8574736.661137713,4707116.946721713
111,Orange,1,Landover- Track 1; ,-8559491.011595609,4712145.3377792
507,Yellow,2,Mt Vernon Sq- Track 2; ,-8574048.150087155,4708298.779621934
128,Silver,2,Court House- Track 2; ,-8581455.794282502,4705877.042567772
12,Orange,1,Rosslyn- Track 1;  Doors open left,-8579478.42616754,4706790.54361767
203,Blue,1,Foggy Bottom-GMU- Track 1;  Doors open left,-8577179.344724188,4707449.654107064
15,Red,1,Dupont Circle- Track 1; ,-8576324.299715403,4708474.306840222
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1;  Doors open right,-8577230.551689954,4701332.354938014
25,Yellow,1,L Enfant Plaza Upper- Track 1; ,-8574037.46341604,4705229.760876599
207,Blue,1,Smithsonian- Track 1;  motion;,-8574788.758659402,4705705.278647274
11,Red,2,New York Avenue- Track 2;  Doors operating manually; Doors open left,-8571976.828321965,4708306.933630894
257,Green,1,Shaw/Howard U- Track 1; ,-8574034.012511823,4709291.327976672
262,Blue,2,Capitol Heights- Track 2;  motion;,-8561784.972342385,4705852.729430063
18,Orange,2,Stadium-Armory- Track 2;  motion;,-8569056.584119983,4705487.610307085
501,Silver,1,Ashburn- Track 2; ,0,0
43,Orange,1,East Falls Church- Track 1;  Doors open left,-8589074.945510358,4705351.748726643
299,Silver,1,Innovation Center- Track 1; ,-8617834.669915272,4716045.321950225
29,Blue,1,Benning Road- Track 1; ,-8564772.342197314,4706074.410191953
44,Red,1,North Bethesda- Track 1;  motion;,-8584196.591465322,4728623.887858121
505,Silver,2,Capitol South- Track 2;  motion;,-8572181.990143495,4705229.903886119
503,Silver,1,Mclean- Track 1; ,-8594794.874905787,4710972.930322193
51,Orange,2,Federal Center SW- Track 2;  motion;,-8573376.448279709,4705230.189905159
48,Red,1,Takoma- Track 1;  Doors open left,-8573611.22108579,4718240.661816606
60,Silver,2,Ashburn- Track 1; ,-8626483.749071945,4722639.930839246
271,Silver,2,Benning Road- Track 2;  Doors open left,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1;  Doors operating manually;,-8569040.776752291,4705487.753320234
152,Blue,1,King Street-Old Town- Track 1;  Doors open left,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,McPherson Square- Track 1;  motion;,-8575322.646937247,4707546.636213195
68,Green,2,Gallery Place-Chinatown Lower- Track 2;  Doors operating manually;,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2;  Doors open left,-8578393.39509078,4694013.850562149
74,Red,1,Gallery Place Upper- Track 1;  Doors operating manually;,-8574138.875472153,4707122.096022117
136,Green,2,Columbia Heights- Track 2;  motion;,-8575228.136689564,4711291.168388864
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Potomac Yard- Track 2;  Doors open right,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2;  Doors open left,-8578602.453094488,4713543.875166603
95,Green,1,Hyattsville Crossing- Track 1;  motion;,-8566750.266909728,4716698.304655461
101,Red,2,Gallery Place Upper- Track 2;  Doors open right,-8574138.65283317,4707127.674433836
103,Yellow,2,Pentagon- Track 2; ,-8577630.188661901,4702957.87967028
129,Green,2,Anacostia- Track 2; ,-8571074.583849085,4701937.071242011
116,Orange,2,Rosslyn- Track 2; ,-8579490.226033565,4706581.290703389
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
255,Blue,2,Eastern Market- Track 2; ,-8571160.522495976,4705165.978832367
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
2,Orange,1,Metro Center Lower- Track 1; ,-8574736.661137713,4707116.946721713
111,Orange,1,Landover- Track 1;  Doors open left,-8559491.011595609,4712145.3377792
507,Yellow,2,Mt Vernon Sq- Track 2; ,-8574048.150087155,4708051.158362841
128,Silver,2,Court House- Track 2; ,-8581455.794282502,4705877.042567772
12,Orange,1,Rosslyn- Track 1;  Doors open left,-8579478.42616754,4706790.54361767
225,Silver,2,Dulles Airport- Track 2; ,-8621488.50956158,4715347.717720087
203,Blue,1,Foggy Bottom-GMU- Track 1;  motion;,-8577179.344724188,4707449.654107064
15,Red,1,Dupont Circle- Track 1; ,-8576285.003935156,4708382.17970677
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1; ,-8577230.551689954,4701332.354938014
25,Yellow,1,L Enfant Plaza Upper- Track 1; ,-8574037.46341604,4705357.755200236
207,Blue,1,Smithsonian- Track 1;  motion;,-8574788.758659402,4705705.278647274
341,Blue,2,Smithsonian- Track 2; ,-8574783.304004354,4705706.422777022
11,Red,2,New York Avenue- Track 2;  Doors operating manually;,-8571976.828321965,4708306.933630894
257,Green,1,Shaw/Howard U- Track 1;  motion;,-8574034.012511823,4709291.327976672
262,Blue,2,Capitol Heights- Track 2;  motion;,-8561784.972342385,4705852.729430063
18,Orange,2,Stadium-Armory- Track 2; ,-8569056.584119983,4705487.610307085
501,Silver,1,Ashburn- Track 2; ,-8626041.699374007,4722084.116265055
43,Orange,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
42,Silver,1,Addison Road-Seat Pleasant- Track 1; ,-8559815.730550252,4705452.572146696
222,Red,1,Van Ness-UDC- Track 1; ,-8578615.254835932,4713537.291342197
299,Silver,1,Innovation Center- Track 1; ,0,0
29,Blue,1,Benning Road- Track 1;  motion;,-8564772.342197314,4706074.410191953
44,Red,1,North Bethesda- Track 1;  motion;,-8584196.591465322,4728623.887858121
505,Silver,2,Capitol South- Track 2;  Doors open left,-8572181.990143495,4705229.903886119
503,Silver,1,Mclean- Track 1; ,-8594794.874905787,4710972.930322193
51,Orange,2,Federal Center SW- Track 2; ,-8573376.448279709,4705230.189905159
47,Silver,1,Ballston-MU- Track 1; ,-8584203.827232225,4704817.6158088185
48,Red,1,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
60,Silver,2,Ashburn- Track 1; ,-8626483.749071945,4722639.930839246
271,Silver,2,Benning Road- Track 2; ,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1; ,-8569040.776752291,4705487.753320234
152,Blue,1,King Street-Old Town- Track 1;  Doors open left,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,McPherson Square- Track 1;  Doors open right,-8575322.646937247,4707546.636213195
68,Green,2,Gallery Place-Chinatown Lower- Track 2; ,-8574047.259531228,4707126.244071565
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2; ,-8578393.39509078,4694013.850562149
74,Red,1,Gallery Place Upper- Track 1; ,-8573848.331601182,4707104.502589843
136,Green,2,Columbia Heights- Track 2;  Doors open left,-8575228.136689564,4711291.168388864
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Potomac Yard- Track 2;  Doors open right,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2;  Doors operating manually; Doors open left,-8578602.453094488,4713543.875166603
95,Green,1,Hyattsville Crossing- Track 1;  motion;,-8566750.266909728,4716698.304655461
101,Red,2,Gallery Place Upper- Track 2;  Doors open right,-8574138.65283317,4707127.674433836
103,Yellow,2,Pentagon- Track 2;  motion;,-8577630.188661901,4702957.87967028
16,Silver,2,Downtown Largo- Track 2; ,-8554406.159895154,4707346.665273699
255,Blue,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
2,Orange,1,Metro Center Lower- Track 1; ,-8574737.106415674,4706867.637883249
111,Orange,1,Landover- Track 1; ,-8559491.011595609,4712145.337779201
128,Silver,2,Court House- Track 2; ,-8581455.794282502,4705877.042567772
12,Orange,1,Rosslyn- Track 1; ,-8579478.42616754,4706790.54361767
225,Silver,2,Dulles Airport- Track 2;  motion;,-8621488.50956158,4715347.717720087
203,Blue,1,Foggy Bottom-GMU- Track 1; ,-8576944.237959633,4707449.797147836
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
24,Blue,1,Crystal City- Track 1; ,-8577429.034342038,4701297.188146274
25,Yellow,1,L Enfant Plaza Upper- Track 1; ,-8574037.46341604,4705357.755200236
207,Blue,1,Smithsonian- Track 1;  Doors open right,-8574788.758659402,4705705.278647274
341,Blue,2,Smithsonian- Track 2;  motion;,-8574783.304004354,4705706.422777022
11,Red,2,New York Avenue- Track 2;  Doors operating manually;,-8571976.828321965,4708306.933630894
257,Green,1,Shaw/Howard U- Track 1; ,-8574034.012511823,4709291.327976672
262,Blue,2,Capitol Heights- Track 2; ,-8561784.972342385,4705852.729430063
18,Orange,2,Stadium-Armory- Track 2;  Doors open left,-8569056.584119983,4705487.610307085
35,Yellow,1,Pentagon- Track 1;  motion;,-8577619.279351803,4702946.29849551
43,Orange,1,East Falls Church- Track 1; ,-8588907.966274166,4705278.956269435
42,Silver,1,Addison Road-Seat Pleasant- Track 1;  motion;,-8559815.730550252,4705452.572146696
222,Red,1,Van Ness-UDC- Track 1;  motion;,-8578615.254835932,4713537.2913422
29,Blue,1,Benning Road- Track 1; ,-8564772.342197314,4706074.410191953
44,Red,1,North Bethesda- Track 1;  Doors open left,-8584196.591465322,4728623.887858121
505,Silver,2,Capitol South- Track 2; ,-8572181.990143495,4705229.903886119
503,Silver,1,Mclean- Track 1; ,-8594794.874905787,4710972.930322193
51,Orange,2,Federal Center SW- Track 2;  Doors open left,-8573376.448279709,4705230.18990516
47,Silver,1,Ballston-MU- Track 1; ,-8584203.827232225,4704817.6158088185
48,Red,1,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
60,Silver,2,Ashburn- Track 1; ,-8626483.749071945,4722639.930839246
271,Silver,2,Benning Road- Track 2; ,-8564763.770596523,4706085.994932512
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Stadium-Armory- Track 1; ,-8569037.77112604,4705749.184718693
152,Blue,1,King Street-Old Town- Track 1; ,-8578383.042378135,4694001.851012345
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,McPherson Square- Track 1;  Doors open right,-8575322.646937247,4707546.636213195
68,Green,2,Gallery Place-Chinatown Lower- Track 2; ,-8574046.925572757,4706811.283204869
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
75,Yellow,2,King Street-Old Town- Track 2; ,-8578491.467562169,4693927.854101187
136,Green,2,Columbia Heights- Track 2;  Doors open left,-8575228.136689564,4711291.168388864
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
14,Silver,1,Franconia-Springfield- Track 1;  Doors open left,-8590297.67879723,4688273.538414345
65,Blue,2,Potomac Yard- Track 2; ,-8576771.358790431,4697808.989515961
92,Red,2,Van Ness-UDC- Track 2;  Doors operating manually;,-8578602.453094488,4713543.875166603
